respondent_id,village_block,membership_duration_months,membership_duration,shg_meetings_attended_monthly,engagement_level,scheme_awareness_count,awareness_score,household_income_increase_percent,satisfaction_level,future_program_confidence,referral_likelihood,savings_participation,credit_participation,agricultural_intervention,livestock_activity,nonfarm_enterprise,didi_ki_rasoi,producer_groups,vo_participation,barrier_lack_of_info,barrier_access_difficulty,barrier_inadequate_capital,barrier_poor_market,barrier_skill_gap,barrier_family_opposition
1,Block A,11,34,3,active,7,7,45,4,5,10,1,1,1,1,0,1,1,0,1,0,0,0,0,0
2,Block C,32,43,4,active,10,10,51,4,4,8,1,1,0,1,1,0,1,1,0,0,0,0,0,0
3,Block D,42,20,4,active,6,6,50,4,4,10,1,0,1,1,0,0,1,1,0,0,0,0,0,0
4,Block B,9,17,3,active,10,10,25,5,4,10,1,0,1,1,0,0,0,0,1,0,0,0,0,0
5,Block C,27,40,3,active,8,8,53,4,5,9,0,1,0,1,1,0,0,1,0,1,0,0,0,0
6,Block A,20,27,4,active,6,6,41,5,4,10,1,1,1,1,0,1,1,0,0,0,0,0,0,0
7,Block D,8,46,3,active,7,7,33,4,5,9,1,1,0,1,0,1,0,1,0,0,0,0,0,0
8,Block C,50,14,4,active,8,8,41,4,4,9,1,1,1,1,0,1,1,1,0,0,0,0,0,0
9,Block C,30,12,3,active,7,7,59,4,5,8,1,1,1,1,1,1,1,1,0,0,0,0,0,0
10,Block D,47,36,3,active,6,6,55,4,5,10,1,1,0,1,1,0,1,0,0,0,0,0,0,0
11,Block A,38,27,4,active,9,9,54,5,4,9,0,0,1,1,1,1,0,1,1,0,0,0,0,0
12,Block B,54,46,4,active,9,9,38,4,4,10,0,0,1,1,1,0,1,0,1,0,0,0,0,0
13,Block D,60,33,4,active,6,6,52,4,5,8,0,1,1,0,1,1,1,0,0,0,0,0,0,0
14,Block A,39,25,4,active,7,7,35,5,4,10,0,1,0,1,1,1,1,1,0,0,0,0,0,1
15,Block D,25,14,4,active,7,7,48,5,4,7,0,1,0,0,1,1,0,1,0,0,0,0,0,0
16,Block B,29,14,4,active,9,9,46,4,5,7,0,1,1,1,0,1,1,0,0,0,0,0,0,0
17,Block C,51,47,4,active,9,9,30,5,4,9,1,1,1,0,1,1,1,0,0,0,0,0,0,0
18,Block C,29,18,3,active,9,9,30,5,4,9,1,1,0,1,1,1,0,1,0,0,0,0,0,0
19,Block C,34,33,4,active,10,10,22,4,4,10,1,1,1,1,1,1,1,1,0,0,0,1,0,0
20,Block D,16,50,3,active,9,9,25,5,4,8,1,1,1,1,1,0,1,1,0,1,0,0,0,0
21,Block B,60,55,4,active,7,7,37,5,5,9,1,1,1,0,1,1,1,1,0,0,0,0,0,0
22,Block A,41,20,3,active,6,6,39,5,5,9,0,1,1,1,1,1,0,0,0,0,0,0,0,0
23,Block B,24,12,3,active,9,9,26,4,4,10,1,0,0,1,1,0,1,1,0,0,0,0,0,0
24,Block C,38,48,4,active,10,10,37,4,4,9,1,1,0,1,1,1,1,1,0,0,1,0,0,0
25,Block D,28,43,4,active,10,10,44,4,5,8,1,1,0,0,1,0,1,1,0,0,0,0,0,0
26,Block D,14,24,4,active,7,7,29,5,4,10,1,0,1,1,1,0,0,1,0,0,0,0,0,0
27,Block B,54,38,3,active,7,7,33,5,4,7,1,1,1,1,1,1,0,1,0,0,0,0,0,0
